latitude,longitude,business_id,address,business_name,business_type,community_id
39.95548928319014,-83.02872952693328,20425646,165 S CYPRESS AVE,Crossroads World Christian Center Church,House of Worship,374.0
39.88067645348838,-83.00160338372093,20425670,4080 S HIGH ST,Scioto Southland Civic Association,Community/Recreation Center,359.0
39.962515,-82.9677895,20425672,1215 OAK ST,Church Of Living God,House of Worship,371.0
39.970455,-82.95715618181818,20425694,130 WOODLAND AVE,Eldon & Elise Ward Family YMCA,Community/Recreation Center,371.0
39.962712499999995,-82.96858125,20425699,1186 OAK ST,Greater Faith Temple Apostolic,House of Worship,371.0
40.0097526,-83.01644542307936,20425709,240 W OAKLAND AVE,Tuttle Park Community Center,Community/Recreation Center,362.0
39.966657104166664,-82.96282754166667,20425730,1428 E BROAD ST,Islamic Center,House of Worship,371.0
39.988493,-83.03686,20425739,1150 W 5TH AVE,St. Luke's United Methodist Church,House of Worship,369.0
39.9975303,-83.00626649804423,20425775,45 E 13TH AVE,Jacob's Porch Lutheran Campus Ministry,House of Worship,362.0
39.957361902404465,-82.83833251744801,20425779,1055 MCNAUGHTEN RD,Vineyard Christian Church,House of Worship,367.0
39.946524,-82.906405,20425784,1223 BARNETT RD,Christ Memorial Baptist Church ,House of Worship,388.0
40.05936,-83.175907,20425789,6729 HAYDEN RUN RD,Hayden Run Enterprise Baptist Church,House of Worship,389.0
40.1049706,-82.95586108794072,20425801,1340 COMMUNITY PARK DR,Xenos Christian Fellowship,House of Worship,378.0
39.95740996774194,-82.95200393548387,20425803,1759 E MAIN ST,Apostolic Worship & Praise,House of Worship,371.0
40.14665975,-82.98627813922717,20425819,1071 GEMINI PL,Rave Motion Pictures,Theater/Concert Hall,386.0
40.05955045,-82.99727641884829,20425822,4611 GLENMAWR AVE,Holy Resurrection,House of Worship,378.0
39.96678469230769,-82.9844675897436,20425823,639 E LONG ST,St. Paul AME Church,House of Worship,379.0
39.970995,-82.957112,20425832,166 WOODLAND AVE,St. Philip  Episcopal Church,House of Worship,371.0
40.0324368,-82.98048683444318,20425843,1230 OAKLAND PARK AVE,Linden Lutheran Church,House of Worship,373.0
39.95497538071263,-83.06661241139629,20425855,12 S TERRACE AVE,Veritas Community Church,House of Worship,370.0
39.9685473329808,-82.98502127353964,20425896,618 E SPRING ST,Merry Makers Club,Other,379.0
39.972664600624014,-83.00447561117997,20425908,512 PARK ST,Columbus Children's Theatre,Theater/Concert Hall,379.0
39.92493555,-82.99030585,20425922,191 REEB AVE,Mountain Assembly of God,House of Worship,365.0
40.100729348350896,-82.95242338975493,20425947,1393 COMMUNITY PARK DR,Church Of God Of Prophecy,House of Worship,378.0
39.946063,-83.060348,20425967,2300 SULLIVANT AVE,Westside Community Center,Community/Recreation Center,370.0
39.953336863636366,-83.0205744090909,20426000,787 SULLIVANT AVE,Pentecostal Sons of God Church,House of Worship,374.0
